,0,1,2
279,Conemaugh River Lake,25.8838889,-81.21888890000001
280,Brookville Lake,25.8513889,-80.9872222
281,West Point Lake,25.8652611,-81.1139806
282,J. Strom Thurmond Lake,25.7612,-80.9193806
283,Lake Sidney Lanier,35.9369417,-75.7089611
284,Hartwell Lake,30.3978222,-88.7955194
285,Walter F. George Lake,35.2345944,-75.6088139
286,Alabama River Lakes,35.800277799999996,-75.545
287,Black Warrior and Tombigbee Lakes,36.641075,-84.5236444
288,Carters Lake,37.5756028,-79.3388
289,Lake Seminole,28.9272222,-80.82433329999999
290,Allatoona Lake,33.83585,-80.828
291,Okatibbee Lake,35.2362083,-75.92250279999999
292,W. Kerr Scott Dam & Reservoir,34.6849389,-76.52725
293,John H. Kerr Dam and Reservoir,33.8296389,-80.82369440000001
294,Philpott Lake,36.0678889,-84.66277779999999
295,Lake Okeechobee,30.7203611,-81.5497222
296,Pine Flat Lake,0.0,0.0
297,Eastman Lake,35.6111111,-83.9325
298,Lake Sonoma,35.5655556,-83.175
299,Mendocino Lake,48.71571285035326,-121.15153236592884
300,Black Butte Lake,48.3093,-120.6565
301,Hensley Lake,37.5730556,-119.665
302,Cochiti Lake,37.7361111,-119.5625
303,Abiquiu Lake,37.8711111,-119.36
304,Success Lake,37.741944399999994,-119.56555559999998
305,New Hogan Lake,37.7408333,-119.56666670000001
306,Kaweah Lake,37.798888899999994,-119.86583329999999
307,Martis Creek Lake,37.7638889,-119.84444440000001
308,Loyalhanna Lake,37.6622222,-119.61972220000001
309,Millwood Lake,40.6475,-122.5530556
310,Elk City Lake,40.625555600000006,-122.58083329999998
311,Hugo Lake,47.6130556,-124.37472220000001
312,Fort Gibson Lake,46.73111110000001,-121.5702778
313,Keystone Lake,46.7672222,-121.79444440000002
314,Lake Texoma,33.9991667,-116.11805559999999
315,Heyburn Lake,33.75,-115.825
316,Ozark Lake,34.12,-116.15583329999998
317,Dierks Lake,34.0716667,-116.38916670000002
318,Oologah Lake,37.84035,-122.48888889999999
319,Pat Mayse Lake,36.463055600000004,-116.8677778
320,Dardanelle Lake,33.99105,-120.0481472
321,Greers Ferry Lake,34.048244399999994,-119.56159720000001
322,Norfork Lake,34.0108333,-119.66027779999999
323,Bull Shoals Lake,33.47985,-119.02989170000001
324,Waco Lake,34.0406028,-120.3490889
